syd,symptom
"1","Upper abdominal pain"
"2","Lower abdominal pain"
"3","Abscess (Collection of pus)"
"4","Alcohol abuse"
"5","Anxiety (Nervousness)"
"6","Arm ache or pain"
"7","Back ache or pain"
"8","Bleeding tendency"
"9","Blood in vomit"
"10","Bloody diarrhea"
"11","Pain or soreness of breast"
"12","Calf pain"
"13","Chest pressure"
"14","Chills"
"15","Change in behavior"
"16","Constipation"
"17","Cough"
"18","Dark stools"
"19","Depressed"
"20","Diarrhea"
"21","Dizziness"
"22","Double vision (Diplopia)"
"23","Ear pressure"
"24","Pain in the ear"
"25","Elbow ache or pain"
"26","Eye pain (Irritation)"
"27","Facial pain"
"28","Fainting"
"29","Fever"
"30","Fever in the returning traveler"
"31","Fever of unknown origin"
"32","Flank pain"
"33","Frequent urination (Frequency)"
"34","Foot pain"11
"35","Cranky, crying, fussy, irritable child"
"36","Groin pain"
"37","Delusions or hallucinations"
"38","Hand, finger ache or pain"
"39","Head injury"
"40","Headache"
"41","Heel pain"
"42","Heat illness"
"43","Hip pain"
"44","Hives"
"45","Hoarse voice"
"46","Hypothermia (Low temperature)"
"47","Incontinence (leaking urine)"
"48","Insect sting"
"49","Insomnia (Trouble sleeping)"
"50","Skin itching"
"51","Joint pain"
"52","Kidney pain (Flank pain)"
"53","Knee pain"
"54","Laceration"
"55","Leg ache or pain"
"56","Swelling of both legs"
"57","Lethargy (Sluggishness)"
"58","Mouth pain"
"59","Muscle pain"
"60","Nail Injury"
"61","Nasal bleeding"
"62","Nasal injury"
"63","Nausea"
"64","Neck ache or pain"
"65","Neck swelling"
"66","Numbness"
"67","Obesity"
"68","Overdose"
"69","Painful urination"
"70","Heart pulsations and palpitations"
"71","Pelvic pain"
"72","Penile discharge"
"73","Penis pain"
"74","Poisoning"
"75","Pregnancy problem"
"76","Psychiatric problem"
"77","Puncture wound"
"78","Rash"
"79","Rectal pain"
"80","Rectal swelling"
"81","Scrotal pain"
"82","Scrotal swelling"
"83","Seizure"
"84","Shortness of breath"
"85","Shoulder ache or pain"
"86","Sinus pain and pressure"
"87","Skin trauma"
"88","Snake bite"
"89","Sore throat"
"90","Speech problem"
"91","Spider bite"
"92","Substance abuse (Drug abuse)"
"93","Suicidal tendencies"
"94","Swallowing problem (Dysphagia)"
"95","Swelling"
"96","Toe pain"
"97","Tooth pain"
"98","Trauma"
"99","Traveler's diarrhea"
"100","Unsteady gait (Trouble walking)"
"101","Vaginal bleeding"
"102","Vaginal bleeding after menopause"
"103","Vaginal bleeding during pregnancy"
"104","Vaginal discharge"
"105","Vaginal itching"
"106","Vaginal pain"
"107","Vertigo (Room spinning)"
"108","Visual problems"
"109","Vomiting"
"110","General weakness"
"111","Weakness (Muscle localized)"
"112","Tired"
"113","Wrist pain"
"114","Throat pain"
"115","Tremors"
"116","Weight loss, unexplained"
"117","Tongue swelling"
"118","Inconsolable baby"
"119","Wheezing (Noisy breathing)"
"120","Swollen lymph nodes (Large lymph nodes)"
"121","Failure to thrive"
"122","Behavioral problem"
"123","Itchy rash (Pruritic rash)"
"124","Headache after trauma"
"125","Learning difficulties"
"126","Blood in urine (Hematuria)"
"127","Urinary retention (Inability to urinate)"
"128","Liver failure (Cirrhosis)"
"129","Choking"
"120","Painful rash"
"131","Ingestion"
"132","Melena (Black stools from blood)"
"133","Vomiting coffee ground material"
"134","Ringing in ears (Tinnitus)"
"135","Mouth ulcers"
"136","Mouth swelling"
"137","Eye redness"
"138","Sneezing"
"139","Bleeding gums"
"140","Loss of balance"
"141","Bleeding in brain"
"142","Cyanosis (Blue skin coloration)"
"143","Muscle spasm"
"144","Drooling"
"145","Abdominal swelling (Stomach swelling)"
"146","Skin growths"
"147","Hand numbness (paresthesias)"
"148","Ankle pain"
"149","Hemoptysis (Coughing blood)"
"150","Jaundice (Yellowing skin)"
"151","Night sweats"
"152","Flatulence (Passing gas)"
"153","Blister (Pocket of fluid)"
"154","Hair loss (Baldness)"
"155","Jaw pain"
"156","Impotence"
"157","Heart murmur (Abnormal heart sound)"
"158","Pustule (Collection of pus)"
"159","Skin pain"
"160","Hot skin"
"161","Skin swelling"
"162","Lip swelling"
"163","Eye swelling"
"164","Foot swelling"
"165","Visual flashing lights"
"166","Eye floaters"
"167","Amenorrhea (No menstruation)"
"168","Blurry vision"
"169","Painful gums"
"170","Swollen gums"
"171","Low blood sugar"
"172","Low blood pressure"
"173","Darkening of the skin (Hyperpigmentation)"
"174","Low heart rate"
"175","Foot itching"
"176","Hot flashes"
"177","Infertility (Female)"
"178","Increased facial hair"
"179","Arm swelling"
"180","Calf swelling"
"181","Ear swelling"
"182","Wrist swelling"
"183","Maroon stools"
"184","Arm cut (laceration)"
"185","Hand cut (laceration)"
"186","Leg cut (laceration)"
"187","Foot cut (laceration)"
"188","Arm itching"
"189","Hand redness"
"190","Foot redness"
"191","Arm redness"
"192","Leg redness"
"193","Hand itching"
"194","Leg itching"
"195","Steatorrhea (Excess fat in stool)"
"196","Upper leg pain"
"197","Armpit pain"
"198","Sweating"
"199","Nasal congestion"
"200","Joint stiffness"
"201","Skin sores"
"202","Chest burning"
"203","Memory loss"
"204","Arm numbness (paresthesias)"
"205","Leg numbness (paresthesias)"
"206","Foot numbness (paresthesias)"
"207","Face numbness (paresthesias)"
"208","Dementia"
"209","Facial droop (weakness)"
"210","Limping in a child"
"211","Increased thirst"
"212","Increased urination (polyuria)"
"213","Shin pain"
"214","Stings"
"215","Sleep disorders"
"216","Drooping eyelid (Ptosis)"
"217","Snoring"
"218","Dry skin"
"219","Itchy eyes"
"220","Elbow swelling"
"221","Chest pain"
"222","Skin infection"
"223","Stomach and abdominal pain"
"224","Anger"
"225","Hurts to breathe"
"226","Difficulty breathing"
"227","Pulling at ears"
"228","Skin bumps"
"229","Congestion in chest or lungs"
"230","Discharge from ear"
"231","Low back ache or pain"
"232","Unusual color or odor of urine"
"233","Penis inflammation or swelling"
"234","Excessive appetite"
"235","Retaining fluid"
"236","Lump or mass of breast"
"237","Neck stiffness or tightness"
"238","Agitated"
"239","Confusion"
"240","Headache and weakness"
"241","Confusion and headache"
"242","Nipple discharge"
"243","Shoulder stiffness or tightness"
"244","Arm stiffness or tightness"
"245","High blood pressure"
"246","High blood sugar"
